Day,Number of Vaccinations (Second Dose)
2021-04-08,81323
2021-04-10,136703
2021-04-11,165691
2021-04-12,138879
2021-04-13,210579
2021-04-15,196976
2021-04-17,221616
2021-04-18,214842
2021-04-19,140678
2021-04-20,170902
2021-04-21,137798
2021-04-22,151988
2021-04-24,187321
2021-04-25,171570
2021-04-26,131357
2021-04-27,120861
2021-04-28,119071
2021-04-29,107539
2021-05-02,130547
2021-05-03,86928
2021-05-04,83540
2021-05-05,103800
2021-05-06,102915
2021-05-08,88107
2021-05-09,94655
2021-05-11,97337
2021-05-12,57630
2021-05-16,48930
2021-05-17,56940
2021-05-18,64377
2021-05-19,55436
2021-05-20,53915
2021-05-22,41467
2021-05-23,43304
2021-05-24,34853
2021-05-25,33655
2021-05-27,37287
2021-05-29,20938
2021-05-30,19459
2021-05-31,12216
2021-06-01,12313
2021-06-02,7713
2021-06-03,9180
2021-06-05,6197
2021-06-06,7363
2021-06-07,6482
2021-06-08,5563
2021-06-09,5287
2021-06-10,6828
2021-06-12,4141
2021-06-13,5170
2021-06-14,3359
2021-06-15,3973
2021-06-16,3568
2021-06-17,3295
2021-06-19,2589
2021-06-20,3371
2021-06-21,3003
2021-06-22,3185
2021-06-23,2901
2021-06-24,2733
2021-06-26,2116
2021-06-27,2105
2021-06-28,1218
2021-06-29,1615
2021-06-30,2249
2021-07-01,703
2021-07-03,1051
2021-07-04,743
2021-07-05,893
2021-07-06,581
2021-07-07,651
2021-07-08,723
2021-07-10,356
2021-07-11,324
2021-07-12,355
2021-07-13,293
2021-07-14,212
2021-07-15,665
2021-07-17,708
2021-07-18,967
2021-07-19,733
2021-07-24,1432
2021-07-25,3194
2021-07-26,4478
2021-07-27,5355
2021-07-28,6529
2021-07-29,7157
2021-07-31,9902
2021-08-01,12281
2021-08-02,16262
2021-08-03,23855
2021-08-04,24347
2021-08-05,27386
2021-08-07,53798
2021-08-08,98476
2021-08-09,137220
2021-08-10,169132
2021-08-11,163772
2021-08-12,158366
2021-08-14,204034
2021-08-16,265935
2021-08-17,235916
2021-08-18,199344
2021-08-19,124862
2021-08-21,141064
2021-08-22,180007
2021-08-23,180742
2021-08-24,220102
2021-08-25,225647
2021-08-26,228253
2021-08-28,209712
2021-08-29,200240
2021-08-31,205300
2021-09-01,162910
2021-09-02,151252
2021-09-04,166678
2021-09-05,207873
2021-09-06,230818
2021-09-07,2708469
2021-09-08,853373
2021-09-09,672859
2021-09-10,8258
2021-09-11,347979
2021-09-12,236482
2021-09-13,164778
2021-09-14,112063
2021-09-15,142455
2021-09-16,178278
2021-09-18,204024
2021-09-19,225015
2021-09-20,205528
2021-09-21,236723
2021-09-22,255841
2021-09-23,262718
2021-09-25,252719
2021-09-26,278489
2021-09-27,187406
2021-09-28,133869
2021-09-29,148151
2021-09-30,138362
2021-10-02,113495
2021-10-03,138064
2021-10-04,141533
2021-10-05,153811
2021-10-06,154550
2021-10-07,173003
2021-10-09,145180
2021-10-10,190021
2021-10-11,163401
2021-10-12,161439
2021-10-13,139193
2021-10-14,158679
2021-10-16,172727
2021-10-17,241538
2021-10-18,233270
2021-10-19,231514
2021-10-21,362317
2021-10-23,270039
2021-10-24,329401
2021-10-25,267755
2021-10-26,247274
2021-10-27,222950
2021-10-28,5444166
2021-10-30,1912637
2021-10-31,548771
2021-11-01,327098
2021-11-02,332992
2021-11-03,310747
2021-11-04,312691
2021-11-06,349715
2021-11-07,417550
2021-11-08,339877
2021-11-09,341033
2021-11-10,296190
2021-11-11,274912
2021-11-12,742
2021-11-13,270573
2021-11-14,338715
2021-11-15,262303
2021-11-16,329464
2021-11-17,260185
2021-11-18,286828
2021-11-20,268632
2021-11-21,310792
2021-11-22,250489
2021-11-23,294210
2021-11-24,277973
2021-11-25,281447
2021-11-27,216578
2021-11-28,245770
2021-11-29,240524
2021-11-30,283416
2021-12-01,305262
2021-12-02,299495
2021-12-03,1899
2021-12-04,263673
2021-12-05,309062
2021-12-06,358964
2021-12-07,1161519
2021-12-08,1085963
2021-12-09,1312423
2021-12-11,709368
2021-12-12,486962
2021-12-13,355796
2021-12-14,570312
2021-12-15,565635
2021-12-18,927256
2021-12-19,89049
